"DirectedEdge[{5586033617817, 3, 1}, {5586033676866, 3, 1}]"
"DirectedEdge[{5586033617817, 3, 1}, {5586033735915, 3, 1}]"
"DirectedEdge[{5586033617817, 3, 1}, {5586162757980, 3, 1}]"
"DirectedEdge[{5586033620004, 3, 1}, {5554652560395, 3, 1}]"
"DirectedEdge[{5586033620004, 3, 1}, {5585904479841, 3, 1}]"
"DirectedEdge[{5586033620004, 3, 1}, {5586030431358, 3, 1}]"
"DirectedEdge[{5586033620004, 3, 1}, {5586032025681, 3, 1}]"
"DirectedEdge[{5586033620004, 3, 1}, {5586033615630, 3, 1}]"
"DirectedEdge[{5586033620004, 3, 1}, {5586033617817, 3, 1}]"
"DirectedEdge[{5586033620004, 3, 1}, {5586033679053, 3, 1}]"
"DirectedEdge[{5586033620004, 3, 1}, {5586033738102, 3, 1}]"
"DirectedEdge[{5586033620004, 3, 1}, {5586162760167, 3, 1}]"
"DirectedEdge[{5586033674679, 3, 1}, {5554652615070, 3, 1}]"
"DirectedEdge[{5586033674679, 3, 1}, {5585904534516, 3, 1}]"
"DirectedEdge[{5586033674679, 3, 1}, {5586030486033, 3, 1}]"
"DirectedEdge[{5586033674679, 3, 1}, {5586032080356, 3, 1}]"
"DirectedEdge[{5586033674679, 3, 1}, {5586033615630, 3, 1}]"
"DirectedEdge[{5586033674679, 3, 1}, {5586033676866, 3, 1}]"
"DirectedEdge[{5586033674679, 3, 1}, {5586033679053, 3, 1}]"
"DirectedEdge[{5586033674679, 3, 1}, {5586033733728, 3, 1}]"
"DirectedEdge[{5586033674679, 3, 1}, {5586162814842, 3, 1}]"
"DirectedEdge[{5586033733728, 3, 1}, {5554652674119, 3, 1}]"
"DirectedEdge[{5586033733728, 3, 1}, {5585904593565, 3, 1}]"
